label,sentences,class
s326,অনলাইনে মেডিসিন কেনে ওইটার নামটা মনে আসছে না।,Dementia
s327,বাবা ওষুধ নিয়ে আসতে বলছিলে ভুলে গিয়েছি।,Dementia
s328,তোমার মায়ের ওষুধ টা পাল্টিয়ে আনবে।,Dementia
s329,ভুলে যাওয়া সমস্যাটার কারণে আমি খুবই বিরক্ত।,Dementia
s330,দোকান থেকে মনে হয় ভুল ওষুধ নিয়ে এসেছি।,Dementia
s331,আমার এইটা রোগ নাকি মানসিক সমস্যা বুঝতে পারছি না।,Dementia
s332,আমাদের দেশের ডাক্তাররাও অনেক অভিজ্ঞ।,Dementia
s333,বেশিরভাগ রোগীরাই ভারতে চিকিৎসার জন্য যায়।,Dementia
s334,ছোট ছেলের কালকে অপারেশন হলো।,Dementia
s335,দেখে মনে হচ্ছে তোমার শরীরের ভালোই উন্নতি হচ্ছে।,Dementia
s336,বিদেশে চিকিৎসা নিতে গেলেই ঠিক হব এমন তো না।,Dementia
s337,ওষুধের নাম গুলো মনে রাখা কঠিন হয়ে পড়েছে।,Dementia
s338,ডাক্তার ঠিকভাবে আমার কোন কথাই শুনলো না।,Dementia
s339,আমাকে প্রত্যেক মাসেই ডাক্তারের কাছে যেতে হয়।,Dementia
s340,ডাক্তার দেখাতে গিয়েছিলাম কিনা মনে পড়ছে না।,Dementia
s341,বাড়ির লোকরাই ওষুধ খাওয়ার কথা মনে করিয়ে দেয়।,Dementia
s342,মনে আসছে না ডাক্তার কি কি করতে বলেছিল।,Dementia
s343,আমি মনে হয় ভুল ওষুধটা খেয়ে ফেলেছি।,Dementia
s344,ডাক্তার কিছু হালকা ব্যায়াম করতে বলেছেন।,Dementia
s345,কাল থেকে সকালে তুমি আমার সাথে হাঁটতে যাবে।,Dementia
s346,প্রতিদিন সকালে আমাকে ৩০ মিনিট করে হাঁটতে হয়।,Dementia
s347,"সকালে হাটতে যেতে মনে ছিল না, বিকালে যাব।",Dementia
s348,আমার প্রেসারটা একটু মেপে দেওয়া লাগবে।,Dementia
s349,"মাথা ঘুরাচ্ছে, মনে হয় প্রেশারটা বেড়ে গিয়েছে।",Dementia
s350,তোমার মাকে ডাক্তারের কাছে নিয়ে যাওয়া লাগতো।,Dementia
s351,"তুমি অনেকদিন পায়েস বানাও না, আজ খেতে ইচ্ছে করছে।",Dementia
s352,"রান্নার ঘ্রান টা অনেক ভালো লাগছে, কিন্তু খেতে মন চাচ্ছে না।",Dementia
s353,মাছের স্বাদটা একটু অন্যরকম মনে হচ্ছে।,Dementia
s354,আমার মুখের স্বাদ দিন দিন নষ্ট হয়ে যাচ্ছে।,Dementia
s355,অফিসের জন্য কিছু ফরমাল শার্ট কিনতে হবে।,Dementia
s356,আমার স্যুটটা কোথায় যে রেখেছি খুঁজে পাচ্ছি না।,Dementia
s357,পূজায় প্রতিবছর পাঞ্জাবি পরি এবারও তাই পরবো।,Dementia
s358,গেঞ্জিটা ভুলে উল্টো করে পরেছি।,Dementia
s359,আমাদের এলাকায় নিরাপত্তা ব্যবস্থা ভালো।,Dementia
s360,যখন ছোট ছিলাম এই বাড়ির ছাদে আমি কবুতর পালতাম।,Dementia
s361,এই ফোনে তোমাদের বাসার ওয়াইফাই কানেক্ট করে দাও তো।,Dementia
s362,এই বাসায় আমার অনেক স্মৃতি জড়িয়ে আছে।,Dementia
s363,আমার বড় ছেলে প্রাইমারি স্কুলের শিক্ষক।,Dementia
s364,তোমার বাচ্চাকে প্রতিদিন পড়তে বসার অভ্যাস করাও।,Dementia
s365,নাতি নাতনিদের পড়াশুনা আগে আমিই হব দেখিয়ে দিতাম।,Dementia
s366,বইয়ের লেখা পড়তে আমার ইদানিং কষ্ট হয়।,Dementia
s367,হাসপাতাল থেকে রিপোর্টগুলো আনার কথা মনে নেই।,Dementia
s368,সকালের ওষুধ ভুল করে রাতে খেয়ে ফেলেছি।,Dementia
s369,ভুলে যাওয়া স্বভাবের কারণে মানসিক চাপে থাকি।,Dementia
s370,কোন ওষুধ টা বাদ দিতে বলেছে বুঝতে পারছি না।,Dementia
